t,x,y,z,vx,vy,vz,dl_left,F_left,dl_right,F_right,z_bumper,vz_bumper,,p_wagen,p_bumper,p_total
0.01999999,0,0,0,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.03999998,0,0,0.01999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.05999998,0,0,0.03999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.07999997,0,0,0.05999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.09999996,0,0,0.07999997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.12,0,0,0.09999996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.14,0,0,0.12,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1599999,0,0,0.14,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1799999,0,0,0.16,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.1999999,0,0,0.1799999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2199999,0,0,0.1999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2399999,0,0,0.2199999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2599999,0,0,0.2399999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2799999,0,0,0.2599999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.2999999,0,0,0.2799999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3199999,0,0,0.2999999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3399999,0,0,0.3199999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3599999,0,0,0.3399999,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3799999,0,0,0.3599998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.3999999,0,0,0.3799998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4199998,0,0,0.3999998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4399998,0,0,0.4199998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4599998,0,0,0.4399998,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4799998,0,0,0.4599997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.4999998,0,0,0.4799997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5199998,0,0,0.4999997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5399998,0,0,0.5199997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5599998,0,0,0.5399997,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5799998,0,0,0.5599996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.5999998,0,0,0.5799996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.6199998,0,0,0.5999996,0,0,1,0,0,0,0,-0.8,0,,0.4,0,0.4
0.6399997,0,0,0.6199996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.6599998,0,0,0.5999996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.6799998,0,0,0.5799996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.6999997,0,0,0.5599996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.7199997,0,0,0.5399997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.7399997,0,0,0.5199997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.7599998,0,0,0.4999997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.7799997,0,0,0.4799997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.7999997,0,0,0.4599997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.8199997,0,0,0.4399998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.8399997,0,0,0.4199998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.8599997,0,0,0.3999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.8799997,0,0,0.3799998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.8999997,0,0,0.3599998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.9199997,0,0,0.3399999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.9399996,0,0,0.3199999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.9599997,0,0,0.2999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.9799997,0,0,0.2799999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
0.9999996,0,0,0.2599999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.02,0,0,0.2399999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.04,0,0,0.2199999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.06,0,0,0.1999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.08,0,0,0.1799999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.1,0,0,0.16,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.12,0,0,0.14,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.14,0,0,0.12,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.16,0,0,0.09999996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.18,0,0,0.07999997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.2,0,0,0.05999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.22,0,0,0.03999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.24,0,0,0.01999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.26,0,0,0,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.279999,0,0,-0.01999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.3,0,0,-0.03999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.32,0,0,-0.05999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.34,0,0,-0.07999997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.36,0,0,-0.09999996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.38,0,0,-0.12,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.399999,0,0,-0.14,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.419999,0,0,-0.16,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.439999,0,0,-0.1799999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.459999,0,0,-0.1999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.479999,0,0,-0.2199999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.5,0,0,-0.2399999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.52,0,0,-0.2599999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.539999,0,0,-0.2799999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.559999,0,0,-0.2999999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.579999,0,0,-0.3199999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.599999,0,0,-0.3399999,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.619999,0,0,-0.3599998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.639999,0,0,-0.3799998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.659999,0,0,-0.3999998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.679999,0,0,-0.4199998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.699999,0,0,-0.4399998,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.719999,0,0,-0.4599997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.739999,0,0,-0.4799997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.759999,0,0,-0.4999997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.779999,0,0,-0.5199997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.799999,0,0,-0.5399997,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.819999,0,0,-0.5599996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.839999,0,0,-0.5799996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.859999,0,0,-0.5999996,0,0,-1,0,0,0,0,-0.8,0,,-0.4,0,-0.4
1.879999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.8,-1,,0,-1,-1
1.899999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.82,-1,,0,-1,-1
1.919999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.84,-1,,0,-1,-1
1.939999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.86,-1,,0,-1,-1
1.959999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.8799999,-1,,0,-1,-1
1.979999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.8999999,-1,,0,-1,-1
1.999999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.9199999,-1,,0,-1,-1
2.019999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.9399999,-1,,0,-1,-1
2.039999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.9599999,-1,,0,-1,-1
2.059999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.9799998,-1,,0,-1,-1
2.079999,0,0,-0.6199996,0,0,0,0,0,0,0,-0.9999998,-1,,0,-1,-1
2.099999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.02,-1,,0,-1,-1
2.119999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.04,-1,,0,-1,-1
2.139999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.06,-1,,0,-1,-1
2.159999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.08,-1,,0,-1,-1
2.179999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.1,-1,,0,-1,-1
2.199999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.12,-1,,0,-1,-1
2.219999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.14,-1,,0,-1,-1
2.239999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.16,-1,,0,-1,-1
2.259999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.18,-1,,0,-1,-1
2.279999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.2,-1,,0,-1,-1
2.299999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.22,-1,,0,-1,-1
2.319999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.24,-1,,0,-1,-1
2.339999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.26,-1,,0,-1,-1
2.359999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.28,-1,,0,-1,-1
2.379999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.3,-1,,0,-1,-1
2.399999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.32,-1,,0,-1,-1
2.419999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.34,-1,,0,-1,-1
2.439999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.36,-1,,0,-1,-1
2.459999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.38,-1,,0,-1,-1
2.479999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.399999,-1,,0,-1,-1
2.499999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.419999,-1,,0,-1,-1
2.519999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.439999,-1,,0,-1,-1
2.539999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.459999,-1,,0,-1,-1
2.559999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.479999,-1,,0,-1,-1
2.579999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.499999,-1,,0,-1,-1
2.599999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.519999,-1,,0,-1,-1
2.619999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.539999,-1,,0,-1,-1
2.639999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.559999,-1,,0,-1,-1
2.659999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.579999,-1,,0,-1,-1
2.679999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.599999,-1,,0,-1,-1
2.699999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.619999,-1,,0,-1,-1
2.719999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.639999,-1,,0,-1,-1
2.739999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.659999,-1,,0,-1,-1
2.759999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.679999,-1,,0,-1,-1
2.779999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.699999,-1,,0,-1,-1
2.799999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.719999,-1,,0,-1,-1
2.819999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.739999,-1,,0,-1,-1
2.839999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.759999,-1,,0,-1,-1
2.859999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.779999,-1,,0,-1,-1
2.879999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.799999,-1,,0,-1,-1
2.899999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.819999,-1,,0,-1,-1
2.919999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.839999,-1,,0,-1,-1
2.939999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.859999,-1,,0,-1,-1
2.959999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.879999,-1,,0,-1,-1
2.979999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.899999,-1,,0,-1,-1
2.999999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.919999,-1,,0,-1,-1
3.019999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.939999,-1,,0,-1,-1
3.039999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.959999,-1,,0,-1,-1
3.059999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.979999,-1,,0,-1,-1
3.079999,0,0,-0.6199996,0,0,0,0,0,0,0,-1.999999,-1,,0,-1,-1
3.099999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.019999,-1,,0,-1,-1
3.119999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.039999,-1,,0,-1,-1
3.139999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.059999,-1,,0,-1,-1
3.159999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.079999,-1,,0,-1,-1
3.179999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.099999,-1,,0,-1,-1
3.199999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.119999,-1,,0,-1,-1
3.219999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.139999,-1,,0,-1,-1
3.239999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.159999,-1,,0,-1,-1
3.259999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.179999,-1,,0,-1,-1
3.279999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.199999,-1,,0,-1,-1
3.299999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.219999,-1,,0,-1,-1
3.319999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.239999,-1,,0,-1,-1
3.339999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.259999,-1,,0,-1,-1
3.359999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.279999,-1,,0,-1,-1
3.379999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.299999,-1,,0,-1,-1
3.399999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.319999,-1,,0,-1,-1
3.419999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.339999,-1,,0,-1,-1
3.439999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.359999,-1,,0,-1,-1
3.459999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.379999,-1,,0,-1,-1
3.479999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.399999,-1,,0,-1,-1
3.499999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.419999,-1,,0,-1,-1
3.519999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.439999,-1,,0,-1,-1
3.539999,0,0,-0.6199996,0,0,0,0,0,0,0,-2.459999,-1,,0,-1,-1
